time_iso8601,forks_cumulative
2024-07-01 00:00:00+00:00,1
2024-12-30 00:00:00+00:00,2
2025-03-11 00:00:00+00:00,3
2025-10-15 00:00:00+00:00,7
2025-10-16 00:00:00+00:00,8
2025-10-17 00:00:00+00:00,9
2025-10-18 00:00:00+00:00,10
2025-10-19 00:00:00+00:00,12
2025-10-23 00:00:00+00:00,14
2025-10-24 00:00:00+00:00,17
2025-10-25 00:00:00+00:00,18
2025-10-27 00:00:00+00:00,19
2025-10-28 00:00:00+00:00,20
2025-10-29 00:00:00+00:00,21
2025-11-02 00:00:00+00:00,22
2025-12-02 00:00:00+00:00,23
2025-12-06 00:00:00+00:00,24
