time_iso8601,stars_cumulative
2024-05-14 00:00:00+00:00,1
2024-06-23 00:00:00+00:00,2
2024-07-26 00:00:00+00:00,3
2024-09-22 00:00:00+00:00,4
2024-12-30 00:00:00+00:00,5
2024-12-31 00:00:00+00:00,6
2025-01-12 00:00:00+00:00,7
2025-01-13 00:00:00+00:00,8
2025-01-17 00:00:00+00:00,9
2025-01-27 00:00:00+00:00,10
2025-04-13 00:00:00+00:00,11
2025-10-15 00:00:00+00:00,14
2025-10-16 00:00:00+00:00,15
2025-10-21 00:00:00+00:00,22
2025-10-24 00:00:00+00:00,25
2025-10-25 00:00:00+00:00,26
2025-10-26 00:00:00+00:00,27
2025-10-28 00:00:00+00:00,28
2025-11-01 00:00:00+00:00,29
2025-11-03 00:00:00+00:00,30
2025-11-04 00:00:00+00:00,34
2025-11-05 00:00:00+00:00,35
2025-11-09 00:00:00+00:00,36
2025-11-15 00:00:00+00:00,37
2025-11-16 00:00:00+00:00,38
2025-11-19 00:00:00+00:00,39
2025-12-03 00:00:00+00:00,40
2025-12-06 00:00:00+00:00,41
2025-12-10 00:00:00+00:00,42
2025-12-14 00:00:00+00:00,43
2025-12-22 00:00:00+00:00,45
2026-01-04 00:00:00+00:00,46
2026-01-06 00:00:00+00:00,47
2026-01-12 00:00:00+00:00,48
2026-01-19 00:00:00+00:00,49
